StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,My gender is,My income level is,My Ethnicity is,My Marriage status is:,My age is,The employees should prevent long waiting lines,The employees should be quick and efficient in service delivery,The bank should maintain strong customer relationships,"When facing any sort of banking problems, the employees should help you solve the problem",The bank should always inform you about new and attractive products to fit your investment needs,The employees should be continuously courteous with you,All the employees should have strong knowledge to answer any inquiries,"The bank should operate a regular, effective complaint handling service",How often do you visit the bank,Would you recommend this bank to friends?,How would you describe your last visit to the bank
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID17""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}"
5/20/2020 16:52,5/20/2020 16:54,0,68.109.163.120,100,87,1,5/20/2020 16:54,R_1r053csHXlrH4h5,,,,,32.21229553,-110.8789978,anonymous,EN,1,7,1,1,3,1,1,3,2,3,1,1,2,4,1,2
5/20/2020 16:54,5/20/2020 16:55,0,68.109.163.120,100,60,1,5/20/2020 16:55,R_3HoeCzUhveiWKUr,,,,,32.21229553,-110.8789978,anonymous,EN,2,4,1,5,4,1,1,4,3,4,2,2,2,1,2,2
5/20/2020 16:55,5/20/2020 16:56,0,68.109.163.120,100,74,1,5/20/2020 16:56,R_1dK80WODLLNtjmA,,,,,32.21229553,-110.8789978,anonymous,EN,1,8,2,3,4,2,2,1,4,1,2,3,2,3,1,2
5/20/2020 16:56,5/20/2020 16:57,0,68.109.163.120,100,62,1,5/20/2020 16:57,R_XOhf4v3lsrawWEp,,,,,32.21229553,-110.8789978,anonymous,EN,1,3,1,2,4,4,2,4,2,4,3,2,2,3,2,1
5/20/2020 16:57,5/20/2020 16:58,0,68.109.163.120,100,63,1,5/20/2020 16:58,R_2CDOP0DRk699iWh,,,,,32.21229553,-110.8789978,anonymous,EN,2,7,3,5,2,1,2,3,1,3,2,2,1,3,3,3
5/20/2020 16:59,5/20/2020 17:00,0,68.109.163.120,100,73,1,5/20/2020 17:00,R_72o5dFPFNmOZmoh,,,,,32.21229553,-110.8789978,anonymous,EN,1,8,1,3,6,2,3,1,2,2,3,3,2,2,2,2
5/20/2020 17:00,5/20/2020 17:01,0,68.109.163.120,100,51,1,5/20/2020 17:01,R_2Vl6ShL148EMV1l,,,,,32.21229553,-110.8789978,anonymous,EN,2,6,3,1,1,1,3,2,1,3,1,2,2,1,2,1
5/20/2020 17:01,5/20/2020 17:02,0,68.109.163.120,100,68,1,5/20/2020 17:02,R_3NLjYxXAoW25G3h,,,,,32.21229553,-110.8789978,anonymous,EN,2,3,1,1,4,2,1,1,2,2,1,2,2,4,2,2
5/20/2020 17:02,5/20/2020 17:03,0,68.109.163.120,100,58,1,5/20/2020 17:03,R_31RbXVHc0KVGhXR,,,,,32.21229553,-110.8789978,anonymous,EN,2,3,2,3,3,2,1,2,3,2,2,2,2,4,2,2
5/20/2020 17:03,5/20/2020 17:04,0,68.109.163.120,100,88,1,5/20/2020 17:04,R_1IsmHkGOLTXnUTx,,,,,32.21229553,-110.8789978,anonymous,EN,1,2,1,2,4,1,1,4,1,4,1,2,3,5,3,3
6/16/2020 23:21,6/16/2020 23:21,1,,100,28,1,6/16/2020 23:21,R_utaUBLnpExiQohj,,,,,32.25030518,-110.9449997,preview,EN,1,1,4,5,2,1,1,1,1,1,1,1,1,4,2,3
6/17/2020 21:05,6/17/2020 21:06,1,,100,46,1,6/17/2020 21:06,R_tPyLPDCFa4sZ9Jf,,,,,32.21299744,-110.8279037,preview,EN,1,1,1,5,2,2,1,3,1,3,1,1,1,5,3,3
