StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,My gender is,My income level is,My Ethnicity is,My Marriage status is:,My age is,The employees should prevent long waiting lines,The employees should be quick and efficient in service delivery,The bank should maintain strong customer relationships,"When facing any sort of banking problems, the employees should help you solve the problem",The bank should always inform you about new and attractive products to fit your investment needs,The employees should be continuously courteous with you,All the employees should have strong knowledge to answer any inquiries,"The bank should operate a regular, effective complaint handling service",How often do you visit the bank,Would you recommend this bank to friends?,How would you describe your last visit to the bank
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID17""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}"
5/20/2020 16:52,5/20/2020 16:54,IP Address,68.109.163.120,100,87,TRUE,5/20/2020 16:54,R_1r053csHXlrH4h5,,,,,32.21229553,-110.8789978,anonymous,EN,Male,"$60,000 - $69,999",White,Married,25 - 34,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Once a week,Definitely yes,Good
5/20/2020 16:54,5/20/2020 16:55,IP Address,68.109.163.120,100,60,TRUE,5/20/2020 16:55,R_3HoeCzUhveiWKUr,,,,,32.21229553,-110.8789978,anonymous,EN,Female,"$30,000 - $39,999",White,Never married,35 - 44,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Daily,Probably yes,Good
5/20/2020 16:55,5/20/2020 16:56,IP Address,68.109.163.120,100,74,TRUE,5/20/2020 16:56,R_1dK80WODLLNtjmA,,,,,32.21229553,-110.8789978,anonymous,EN,Male,"$70,000+",Black or African American,Divorced,35 - 44,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,2-3 times a week,Definitely yes,Good
5/20/2020 16:56,5/20/2020 16:57,IP Address,68.109.163.120,100,62,TRUE,5/20/2020 16:57,R_XOhf4v3lsrawWEp,,,,,32.21229553,-110.8789978,anonymous,EN,Male,"$20,000 - $29,999",White,Widowed,35 - 44,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,2-3 times a week,Probably yes,Delightful
5/20/2020 16:57,5/20/2020 16:58,IP Address,68.109.163.120,100,63,TRUE,5/20/2020 16:58,R_2CDOP0DRk699iWh,,,,,32.21229553,-110.8789978,anonymous,EN,Female,"$60,000 - $69,999",Asian,Never married,18 - 24,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,2-3 times a week,Might or might not,Average
5/20/2020 16:59,5/20/2020 17:00,IP Address,68.109.163.120,100,73,TRUE,5/20/2020 17:00,R_72o5dFPFNmOZmoh,,,,,32.21229553,-110.8789978,anonymous,EN,Male,"$70,000+",White,Divorced,55 - 64,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,4-6 times a week,Probably yes,Good
5/20/2020 17:00,5/20/2020 17:01,IP Address,68.109.163.120,100,51,TRUE,5/20/2020 17:01,R_2Vl6ShL148EMV1l,,,,,32.21229553,-110.8789978,anonymous,EN,Female,"$50,000 - $59,999",Asian,Married,Under 18,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Daily,Probably yes,Delightful
5/20/2020 17:01,5/20/2020 17:02,IP Address,68.109.163.120,100,68,TRUE,5/20/2020 17:02,R_3NLjYxXAoW25G3h,,,,,32.21229553,-110.8789978,anonymous,EN,Female,"$20,000 - $29,999",White,Married,35 - 44,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Once a week,Probably yes,Good
